Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2015:Q4,RemainingTop1,15321568,15926522,2601608,342698,5395303,692007,862009,2651506,3381392,604954,409975,67732,127247
2015:Q4,Next9,33318198,35825013,7095563,956090,6977347,7755051,3692467,3079456,6269039,2506815,2015692,262058,229065
2015:Q4,Next40,24533220,30459570,9964205,2085310,2458240,6525521,3136746,1403663,4885884,5926350,4598945,1178533,148872
2015:Q4,Bottom50,995482,5451443,2655204,1150654,135652,232241,347924,125842,803926,4455961,2364729,1876342,214890
2016:Q1,TopPt1,10751637,10844455,876097,472635,4648707,73761,178864,2529103,2065288,92818,47483,15268,30067
2016:Q1,RemainingTop1,15535571,16154030,2652420,341191,5509505,660862,865244,2677083,3447725,618460,417971,70097,130392
2016:Q1,Next9,33790132,36279962,7201680,950856,7061404,7862313,3768866,3005623,6429220,2489830,2003868,258669,227293
2016:Q1,Next40,24803099,30769819,10099629,2112325,2472496,6541185,3150509,1392900,5000775,5966721,4631313,1181556,153852
2016:Q1,Bottom50,1023600,5452846,2631571,1160236,136001,229406,349423,126692,819516,4429246,2331448,1886646,211152
2016:Q2,TopPt1,11034087,11128951,897013,500007,4794575,79511,185778,2605812,2066255,94864,48737,15749,30378
2016:Q2,RemainingTop1,15882263,16517551,2736328,338075,5692185,643310,870459,2773319,3463875,635288,427246,74154,133888
2016:Q2,Next9,34417197,36914903,7414675,937626,7241458,7945231,3869577,3045016,6461320,2497706,2001680,265962,230064
2016:Q2,Next40,25103802,31162536,10326357,2142641,2514529,6574580,3176556,1417974,5009899,6058734,4683257,1214609,160868
2016:Q2,Bottom50,1028043,5461684,2621648,1173376,139352,226822,351916,128308,820261,4433640,2316938,1906319,210383
2016:Q3,TopPt1,11246855,11344597,910373,484439,4955291,85248,193948,2672578,2042719,97741,50724,16449,30568
2016:Q3,RemainingTop1,16192969,16844055,2773327,341220,5889302,626102,883862,2862386,3467856,651087,435425,77972,137690
2016:Q3,Next9,34912639,37428202,7463709,955801,7442439,8032504,4006320,3074451,6452979,2515564,2009516,273458,232590
2016:Q3,Next40,25516987,31680047,10608160,2158277,2562967,6611504,3240810,1439924,5058405,6163060,4744031,1250568,168461
2016:Q3,Bottom50,1151766,5607705,2747066,1171454,143349,224376,358977,129876,832607,4455938,2303651,1943143,209144
2016:Q4,TopPt1,11202292,11302318,925749,471939,4954963,82047,188054,2684926,1994641,100026,50793,17069,32164
2016:Q4,RemainingTop1,16287401,16940268,2811725,340555,6010635,632390,874223,2836072,3434668,652867,443054,76444,133369
2016:Q4,Next9,35165932,37691978,7575200,977430,7525057,8069663,4031636,3095883,6417109,2526045,2035027,278018,213000
2016:Q4,Next40,25817621,32027295,10845011,2168049,2569227,6652357,3249418,1435254,5107980,6209675,4761876,1279243,168556
